title,type,release_year,nlp_text,listed_in,vader_compound,vader_label,spacy_pos_prob,spacy_label,review_join
Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,2021,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",Children & Family Movies,-0.7387759209933635,NEGATIVE,0.9423232609271824,POSITIVE,Great movie || Loved it
Jeans,Movie,1998,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.","Comedies, International Movies, Romantic Movies",-0.5899367550364548,NEGATIVE,0.6556133089250916,POSITIVE,Interesting plot
Love on the Spectrum,TV Show,2021,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.","Docuseries, International TV Shows, Reality TV",0.4388883643408512,POSITIVE,0.586608220028367,POSITIVE,Interesting plot
Minsara Kanavu,Movie,1997,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,"Comedies, International Movies, Music & Musicals",-0.40953316106682947,NEGATIVE,0.42745725168554516,NEGATIVE,Interesting plot
Grown Ups,Movie,2010,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",Comedies,0.4058022064636,POSITIVE,0.1885299687712756,NEGATIVE,
Dark Skies,Movie,2013,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.","Horror Movies, Sci-Fi & Fantasy",0.4788411435389055,POSITIVE,0.9259519791058153,POSITIVE,Great movie || Loved it
Paranoia,Movie,2013,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",Thrillers,-0.25980006420514545,NEGATIVE,0.970278053304711,POSITIVE,Great movie || Loved it
Ankahi Kahaniya,Movie,2021,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.","Dramas, Independent Movies, International Movies",-0.4333801426536823,NEGATIVE,0.7845059721228913,POSITIVE,Interesting plot
Chicago Party Aunt,TV Show,2021,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,TV Comedies,0.6864986633151999,POSITIVE,0.823580501560024,POSITIVE,Great movie || Loved it
Sex Education,TV Show,2020,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.","British TV Shows, International TV Shows, TV Comedies",0.8130589620706297,POSITIVE,0.5582988654631886,POSITIVE,Interesting plot
Squid Game,TV Show,2021,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.","International TV Shows, TV Dramas, TV Thrillers",0.45515446585024577,POSITIVE,0.19955719779235245,NEGATIVE,
Tayo and Little Wizards,TV Show,2020,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,Kids' TV,-0.39243109277273325,NEGATIVE,0.7343872940946341,POSITIVE,Interesting plot
The Father Who Moves Mountains,Movie,2021,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.","Dramas, International Movies, Thrillers",-0.4202283656737368,NEGATIVE,0.46886457350777105,NEGATIVE,Interesting plot
The Stronghold,Movie,2021,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.","Action & Adventure, Dramas, International Movies",0.14403986258991996,POSITIVE,0.6670603383488628,POSITIVE,Interesting plot
Angry Birds,TV Show,2018,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.","Kids' TV, TV Comedies",0.3923743663803614,POSITIVE,0.43706160002319644,NEGATIVE,Interesting plot
Birth of the Dragon,Movie,2017,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.","Action & Adventure, Dramas",-0.18940335446721956,NEGATIVE,0.19942726758295373,NEGATIVE,
Chhota Bheem,TV Show,2021,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",Kids' TV,0.1628171990538987,POSITIVE,0.887880874771597,POSITIVE,Great movie || Loved it
He-Man and the Masters of the Universe,TV Show,2021,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,"Kids' TV, TV Sci-Fi & Fantasy",-0.2610452848628735,NEGATIVE,0.8988173117159907,POSITIVE,Great movie || Loved it
Jaws,Movie,1975,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.","Action & Adventure, Classic Movies, Dramas",-0.6754175866198302,NEGATIVE,0.5523588514310211,POSITIVE,Interesting plot
Jaws 2,Movie,1978,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.","Dramas, Horror Movies, Thrillers",-0.5510413803977523,NEGATIVE,0.513376831895061,POSITIVE,Interesting plot
Jaws 3,Movie,1983,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.","Action & Adventure, Horror Movies, Thrillers",0.8749495069205178,POSITIVE,0.23290561796932147,NEGATIVE,Interesting plot
Jaws: The Revenge,Movie,1987,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.","Action & Adventure, Horror Movies, Thrillers",-0.3699086251132909,NEGATIVE,0.11895712980044938,NEGATIVE,
My Heroes Were Cowboys,Movie,2021,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",Documentaries,0.22525086980900988,POSITIVE,0.32384745318532165,NEGATIVE,Interesting plot
Safe House,Movie,2012,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,Action & Adventure,0.5114221669527288,POSITIVE,0.45797640864224554,NEGATIVE,Interesting plot
The Smart Money Woman,TV Show,2020,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.","International TV Shows, Romantic TV Shows, TV Comedies",0.4188360440122978,POSITIVE,0.5336644720597343,POSITIVE,Interesting plot
Training Day,Movie,2001,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,"Dramas, Thrillers",0.9012160287008657,POSITIVE,0.6144119893699912,POSITIVE,Interesting plot
Castle and Castle,TV Show,2021,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.","International TV Shows, TV Dramas",-0.7698356527299237,NEGATIVE,0.8005887800363332,POSITIVE,Great movie || Loved it
Dharmakshetra,TV Show,2014,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.","International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",0.38549872473475966,POSITIVE,0.2645488570594575,NEGATIVE,Interesting plot
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,2002,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.","Action & Adventure, Anime Features, International Movies",0.4946991297171217,POSITIVE,0.11337720093163131,NEGATIVE,
InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,2003,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,"Action & Adventure, Anime Features, International Movies",-0.262074468951224,NEGATIVE,0.6007947434207412,POSITIVE,Interesting plot
InuYasha the Movie 4: Fire on the Mystic Island,Movie,2004,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.","Action & Adventure, Anime Features, International Movies",0.8499907632009105,POSITIVE,0.7350233480648658,POSITIVE,Interesting plot
InuYasha the Movie: Affections Touching Across Time,Movie,2001,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.","Action & Adventure, Anime Features, International Movies",-0.09741064978237512,NEGATIVE,0.38458430915712016,NEGATIVE,Interesting plot
Nailed It,TV Show,2021,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",Reality TV,0.32199907799297933,POSITIVE,0.01783618377936915,NEGATIVE,
Naruto Shippuden the Movie: Blood Prison,Movie,2011,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.","Action & Adventure, Anime Features, International Movies",-0.9989780220200722,NEGATIVE,0.12210935589906512,NEGATIVE,
Naruto Shippûden the Movie: Bonds,Movie,2008,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.","Action & Adventure, Anime Features, International Movies",-0.8228582045582259,NEGATIVE,0.5314164707743135,POSITIVE,Interesting plot
Naruto Shippûden the Movie: The Will of Fire,Movie,2009,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.","Action & Adventure, Anime Features, International Movies",0.7740490124034809,POSITIVE,0.40029980507686264,NEGATIVE,Interesting plot
Naruto Shippuden: The Movie,Movie,2007,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.","Action & Adventure, Anime Features, International Movies",-0.10919948739679519,NEGATIVE,0.9452984316612822,POSITIVE,Great movie || Loved it
Naruto Shippuden: The Movie: The Lost Tower,Movie,2010,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.","Action & Adventure, Anime Features, International Movies",0.7565481191865513,POSITIVE,0.7340800845376403,POSITIVE,Interesting plot
Naruto the Movie 2: Legend of the Stone of Gelel,Movie,2005,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.","Action & Adventure, Anime Features, International Movies",-0.42947866149001723,NEGATIVE,0.5220546847027854,POSITIVE,Interesting plot
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,2006,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.","Action & Adventure, Anime Features, International Movies",-0.9380512717035718,NEGATIVE,0.4154486263672469,NEGATIVE,Interesting plot
Naruto the Movie: Ninja Clash in the Land of Snow,Movie,2004,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.","Action & Adventure, Anime Features, International Movies",0.8333537405900084,POSITIVE,0.06878693356848949,NEGATIVE,
Nightbooks,Movie,2021,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,Children & Family Movies,0.3391533930178623,POSITIVE,0.8598701208503614,POSITIVE,Great movie || Loved it
Numberblocks,TV Show,2021,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",Kids' TV,0.041411731168956356,NEUTRAL,0.541709721913028,POSITIVE,Interesting plot
Raja Rasoi Aur Anya Kahaniyan,TV Show,2014,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.","Docuseries, International TV Shows",0.7689766231386401,POSITIVE,0.013225268342817497,NEGATIVE,
Saved by the Bell,TV Show,1994,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.","Kids' TV, TV Comedies",-0.7453927788290644,NEGATIVE,0.9861236175024238,POSITIVE,Great movie || Loved it
Schumacher,Movie,2021,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.","Documentaries, International Movies, Sports Movies",-0.8176409867167569,NEGATIVE,0.7003966778750523,POSITIVE,Interesting plot
Stories by Rabindranath Tagore,TV Show,2015,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,"International TV Shows, TV Dramas",0.7447423645632207,POSITIVE,0.3979911181139739,NEGATIVE,Interesting plot
Too Hot To Handle: Latino,TV Show,2021,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.","International TV Shows, Reality TV, Romantic TV Shows",0.7745167519372229,POSITIVE,0.6422606305317629,POSITIVE,Interesting plot
A StoryBots Space Adventure,Movie,2021,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,Children & Family Movies,-0.732033421688721,NEGATIVE,0.5849904603289884,POSITIVE,Interesting plot
Jack Whitehall: Travels with My Father,TV Show,2021,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.","British TV Shows, Docuseries, International TV Shows",0.18784560337379697,POSITIVE,0.3048404767887761,NEGATIVE,Interesting plot
King of Boys,Movie,2018,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.","Dramas, International Movies",0.598202641959815,POSITIVE,0.2093815235908566,NEGATIVE,Interesting plot
The World's Most Amazing Vacation Rentals,TV Show,2021,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",Reality TV,0.7356307748089617,POSITIVE,0.23198324424028005,NEGATIVE,Interesting plot
You vs. Wild: Out Cold,Movie,2021,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",Children & Family Movies,-0.1946889723638745,NEGATIVE,0.590966643204672,POSITIVE,Interesting plot
Yowamushi Pedal,TV Show,2013,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.","Anime Series, International TV Shows",-0.13519116424377797,NEGATIVE,0.9144684304284091,POSITIVE,Great movie || Loved it
Little Singham - Black Shadow,Movie,2021,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,"Children & Family Movies, Comedies",-0.0016871339179778122,NEUTRAL,0.65685872865302,POSITIVE,Interesting plot
Tughlaq Durbar,Movie,2020,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,"Comedies, Dramas, International Movies",0.8582501676534886,POSITIVE,0.9441721641794248,POSITIVE,Great movie || Loved it
Tughlaq Durbar (Telugu),Movie,2021,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,"Comedies, Dramas, International Movies",-0.6123084443649995,NEGATIVE,0.647814617410259,POSITIVE,Interesting plot
Firedrake the Silver Dragon,Movie,2021,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",Children & Family Movies,0.7822473686612788,POSITIVE,0.9317244693943589,POSITIVE,Great movie || Loved it
Kate,Movie,2021,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",Action & Adventure,0.3030774577760784,POSITIVE,0.20210847961765446,NEGATIVE,Interesting plot
Lucifer,TV Show,2021,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.","Crime TV Shows, TV Comedies, TV Dramas",0.2186191988220949,POSITIVE,0.42932312642906867,NEGATIVE,Interesting plot
Metal Shop Masters,TV Show,2021,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",Reality TV,0.7858866042890322,POSITIVE,0.9428067412094229,POSITIVE,Great movie || Loved it
Omo Ghetto: the Saga,Movie,2020,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.","Action & Adventure, Comedies, Dramas",-0.5109059315898703,NEGATIVE,0.6377225307835551,POSITIVE,Interesting plot
Pokémon Master Journeys: The Series,TV Show,2021,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!","Anime Series, Kids' TV",-0.3054135645053847,NEGATIVE,0.6180202049710835,POSITIVE,Interesting plot
Prey,Movie,2021,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,"International Movies, Thrillers",0.14461938085607695,POSITIVE,0.6649877831025486,POSITIVE,Interesting plot
Titipo Titipo,TV Show,2019,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.,"Kids' TV, Korean TV Shows",0.8882177220397205,POSITIVE,0.6344298817297513,POSITIVE,Interesting plot
Blood Brothers: Malcolm X & Muhammad Ali,Movie,2021,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.","Documentaries, Sports Movies",-0.3122499509044574,NEGATIVE,0.42369985427327916,NEGATIVE,Interesting plot
Mighty Raju,TV Show,2017,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!",Kids' TV,-0.136329721458333,NEGATIVE,0.19496066174352558,NEGATIVE,
Paradise Hills,Movie,2019,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse.","Sci-Fi & Fantasy, Thrillers",0.6073171099664916,POSITIVE,0.5315682982400918,POSITIVE,Interesting plot
The Women and the Murderer,Movie,2021,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,"Documentaries, International Movies",0.12043272962803786,POSITIVE,0.6217648528101306,POSITIVE,Interesting plot
Into the Night,TV Show,2021,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.,"International TV Shows, TV Dramas, TV Mysteries",-0.39058963428032345,NEGATIVE,0.7211225465222082,POSITIVE,Interesting plot
JJ+E,Movie,2021,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?","Dramas, International Movies, Romantic Movies",-0.09268268875141694,NEGATIVE,0.8076474836113974,POSITIVE,Great movie || Loved it
Show Dogs,Movie,2018,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,"Children & Family Movies, Comedies",-0.931674190315342,NEGATIVE,0.13083771060473232,NEGATIVE,
The Circle,TV Show,2021,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",Reality TV,-0.9949073940503661,NEGATIVE,0.6435756624312083,POSITIVE,Interesting plot
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,2018,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.","Documentaries, Music & Musicals",-0.36668496843583065,NEGATIVE,0.5821145499549142,POSITIVE,Interesting plot
Kid Cosmic,TV Show,2021,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",0.09640328984158186,POSITIVE,0.5747836450056135,POSITIVE,Interesting plot
Octonauts: Above & Beyond,TV Show,2021,"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.","British TV Shows, Kids' TV",-0.337091565443457,NEGATIVE,0.9962117299428702,POSITIVE,Great movie || Loved it
On the Verge,TV Show,2021,"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.","TV Comedies, TV Dramas",-0.7511667836809454,NEGATIVE,0.522921424015174,POSITIVE,Interesting plot
Tobot Galaxy Detectives,TV Show,2019,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil.",Kids' TV,-0.041622727420558836,NEUTRAL,0.1413142297280287,NEGATIVE,
Untold: Breaking Point,Movie,2021,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.","Documentaries, Sports Movies",-0.7390200476485818,NEGATIVE,0.5301906740130369,POSITIVE,Interesting plot
Countdown: Inspiration4 Mission to Space,TV Show,2021,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.","Docuseries, Science & Nature TV",0.10807721249481594,POSITIVE,0.7090009515427521,POSITIVE,Interesting plot
Shadow Parties,Movie,2020,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.,"Dramas, International Movies, Thrillers",-0.8231327049022383,NEGATIVE,0.3678049017600261,NEGATIVE,Interesting plot
Tayo the Little Bus,TV Show,2016,"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day.","Kids' TV, Korean TV Shows",-0.9952685153100799,NEGATIVE,0.14024210351990585,NEGATIVE,
Angamaly Diaries,Movie,2017,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.","Action & Adventure, Comedies, Dramas",0.7671380056457451,POSITIVE,0.3557708005783546,NEGATIVE,Interesting plot
Bunk'd,TV Show,2021,"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met.","Kids' TV, TV Comedies",-0.4429634887359486,NEGATIVE,0.5466072348753472,POSITIVE,Interesting plot
A Champion Heart,Movie,2018,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.","Children & Family Movies, Dramas",-0.2802782592550568,NEGATIVE,0.009576923681790224,NEGATIVE,
Dive Club,TV Show,2021,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.","Kids' TV, TV Dramas, Teen TV Shows",-0.4047111238829585,NEGATIVE,0.5876466665853854,POSITIVE,Interesting plot
La casa de papel,TV Show,2021,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",0.6421967199170489,POSITIVE,0.16326621946954778,NEGATIVE,
